tweet_id,retweet_count,favorite_count
745314880350101504,2462,6572
745074613265149952,3161,7234
745057283344719872,2041,6730
744995568523612160,564,2730
744971049620602880,2428,7265
744709971296780288,1425,5198
744334592493166593,1920,6317
744234799360020481,70143,143942
744223424764059648,323,1529
743980027717509120,997,3883
743895849529389061,874,3388
743835915802583040,1854,0
743609206067040256,1258,4145
743595368194129920,5919,16861
743545585370791937,856,3263
743510151680958465,3401,7382
743253157753532416,1111,3915
743222593470234624,1724,5711
743210557239623680,1231,3548
742534281772302336,3263,6526
742528092657332225,1787,4085
742465774154047488,3575,6716
742423170473463808,3398,9047
742385895052087300,1764,6262
742161199639494656,1239,3985
742150209887731712,1389,4687
741793263812808706,1380,4203
741743634094141440,2481,7517
741438259667034112,741,3400
741303864243200000,2901,8090
741099773336379392,4988,9172
741067306818797568,2794,8820
740995100998766593,2450,5794
740711788199743490,856,3137
740699697422163968,703,2643
740676976021798912,6170,16752
740373189193256964,12072,32427
740365076218183684,384,2235
740359016048689152,792,3036
740214038584557568,1776,6158
739979191639244800,5352,18420
739932936087216128,979,3738
739844404073074688,782,3508
739623569819336705,1232,3485
739606147276148736,1485,4960
739544079319588864,19144,36288
739485634323156992,2627,6568
739238157791694849,52505,106579
738891149612572673,6,89
738885046782832640,1040,3496
738883359779196928,716,3028
738537504001953792,1386,4680
738402415918125056,737,2995
738184450748633089,1102,3949
738166403467907072,3016,8032
738156290900254721,579,2271
737826014890496000,1598,4808
737800304142471168,3156,9211
737678689543020544,1189,4617
737445876994609152,4033,9395
737322739594330112,726,3312
737310737551491075,6704,13455
736736130620620800,1533,3861
736392552031657984,6621,16257
736365877722001409,1105,3644
736225175608430592,2526,7463
736010884653420544,2688,7209
735991953473572864,1030,3281
735648611367784448,1003,3719
735635087207878657,2133,5637
735274964362878976,4523,11997
735256018284875776,801,3052
735137028879360001,874,2866
734912297295085568,471,2535
